Candidate, "Poll No.", Votes
Ashe, 031, , 36 , 2 , 82 , 17 , 2
Carvalho, 031, , 36 , 2 , 82 , 17 , 2
Dickson, 031, , 36 , 2 , 82 , 17 , 2
Thavarajasoorier, 031, , 36 , 2 , 82 , 17 , 2
Willert, 031, , 36 , 2 , 82 , 17 , 2

Ashe, 032, , 75 , 0 , 97 , 12 , 15
Carvalho, 032, , 75 , 0 , 97 , 12 , 15
Dickson, 032, , 75 , 0 , 97 , 12 , 15
Thavarajasoorier, 032, , 75 , 0 , 97 , 12 , 15
Willert, 032, , 75 , 0 , 97 , 12 , 15

Ashe, 033, , 44 , 0 , 96 , 6 , 5
Carvalho, 033, , 44 , 0 , 96 , 6 , 5
Dickson, 033, , 44 , 0 , 96 , 6 , 5
Thavarajasoorier, 033, , 44 , 0 , 96 , 6 , 5
Willert, 033, , 44 , 0 , 96 , 6 , 5

Ashe, 034s, , 9 , 2 , 16 , 4 , 0
Carvalho, 034s, , 9 , 2 , 16 , 4 , 0
Dickson, 034s, , 9 , 2 , 16 , 4 , 0
Thavarajasoorier, 034s, , 9 , 2 , 16 , 4 , 0
Willert, 034s, , 9 , 2 , 16 , 4 , 0

Ashe, 035, , 64 , 4 , 96 , 19 , 15
Carvalho, 035, , 64 , 4 , 96 , 19 , 15
Dickson, 035, , 64 , 4 , 96 , 19 , 15
Thavarajasoorier, 035, , 64 , 4 , 96 , 19 , 15
Willert, 035, , 64 , 4 , 96 , 19 , 15

Ashe, 036, , 44 , 3 , 77 , 8 , 4
Carvalho, 036, , 44 , 3 , 77 , 8 , 4
Dickson, 036, , 44 , 3 , 77 , 8 , 4
Thavarajasoorier, 036, , 44 , 3 , 77 , 8 , 4
Willert, 036, , 44 , 3 , 77 , 8 , 4

Ashe, 037, , 31 , 2 , 78 , 14 , 11
Carvalho, 037, , 31 , 2 , 78 , 14 , 11
Dickson, 037, , 31 , 2 , 78 , 14 , 11
Thavarajasoorier, 037, , 31 , 2 , 78 , 14 , 11
Willert, 037, , 31 , 2 , 78 , 14 , 11

Ashe, 038, , 62 , 0 , 99 , 4 , 5
Carvalho, 038, , 62 , 0 , 99 , 4 , 5
