Candidate, "Poll No.", Votes
Thavarajasoorier, 102, , 111 , 0 114 , 23 , 26
Willert, 102, , 111 , 0 114 , 23 , 26

Ashe, 103, 69 , 0 75 , 22 , 22
Carvalho, 103, 69 , 0 75 , 22 , 22
Dickson, 103, 69 , 0 75 , 22 , 22
Thavarajasoorier, 103, 69 , 0 75 , 22 , 22
Willert, 103, 69 , 0 75 , 22 , 22

Ashe, 104, 69 , 2 85 , 24 , 17
Carvalho, 104, 69 , 2 85 , 24 , 17
Dickson, 104, 69 , 2 85 , 24 , 17
Thavarajasoorier, 104, 69 , 2 85 , 24 , 17
Willert, 104, 69 , 2 85 , 24 , 17

Ashe, 105, 76 , 4 65 , 13 , 9
Carvalho, 105, 76 , 4 65 , 13 , 9
Dickson, 105, 76 , 4 65 , 13 , 9
Thavarajasoorier, 105, 76 , 4 65 , 13 , 9
Willert, 105, 76 , 4 65 , 13 , 9

Ashe, 106, 103 , 3 95 , 12 , 14
Carvalho, 106, 103 , 3 95 , 12 , 14
Dickson, 106, 103 , 3 95 , 12 , 14
Thavarajasoorier, 106, 103 , 3 95 , 12 , 14
Willert, 106, 103 , 3 95 , 12 , 14

Ashe, 107, 72 , 1 108 , 9 , 13
Carvalho, 107, 72 , 1 108 , 9 , 13
Dickson, 107, 72 , 1 108 , 9 , 13
Thavarajasoorier, 107, 72 , 1 108 , 9 , 13
Willert, 107, 72 , 1 108 , 9 , 13

Ashe, 108, 62 , 1 83 , 21 , 9
Carvalho, 108, 62 , 1 83 , 21 , 9
Dickson, 108, 62 , 1 83 , 21 , 9
Thavarajasoorier, 108, 62 , 1 83 , 21 , 9
Willert, 108, 62 , 1 83 , 21 , 9

Ashe, 109, 45 , 1 113 , 20 , 10
Carvalho, 109, 45 , 1 113 , 20 , 10
Dickson, 109, 45 , 1 113 , 20 , 10
Thavarajasoorier, 109, 45 , 1 113 , 20 , 10
Willert, 109, 45 , 1 113 , 20 , 10

Ashe, 110, 47 , 0 101 , 23 , 22
Carvalho, 110, 47 , 0 101 , 23 , 22
Dickson, 110, 47 , 0 101 , 23 , 22
Thavarajasoorier, 110, 47 , 0 101 , 23 , 22
Willert, 110, 47 , 0 101 , 23 , 22

Ashe, 111, 31 , 0 90 , 19 , 14
Carvalho, 111, 31 , 0 90 , 19 , 14
Dickson, 111, 31 , 0 90 , 19 , 14
Thavarajasoorier, 111, 31 , 0 90 , 19 , 14
Willert, 111, 31 , 0 90 , 19 , 14

Ashe, 112, 43 , 1 52 , 10 , 21
Carvalho, 112, 43 , 1 52 , 10 , 21
Dickson, 112, 43 , 1 52 , 10 , 21
Thavarajasoorier, 112, 43 , 1 52 , 10 , 21
Willert, 112, 43 , 1 52 , 10 , 21

Ashe, 113, 39 , 0 61 , 21 , 21
Carvalho, 113, 39 , 0 61 , 21 , 21
Dickson, 113, 39 , 0 61 , 21 , 21
Thavarajasoorier, 113, 39 , 0 61 , 21 , 21
Willert, 113, 39 , 0 61 , 21 , 21

Ashe, 114, 38 , 1 86 , 16 , 6
Carvalho, 114, 38 , 1 86 , 16 , 6
Dickson, 114, 38 , 1 86 , 16 , 6
Thavarajasoorier, 114, 38 , 1 86 , 16 , 6
Willert, 114, 38 , 1 86 , 16 , 6

Ashe, 115, 44 , 1 88 , 22 , 23
Carvalho, 115, 44 , 1 88 , 22 , 23
Dickson, 115, 44 , 1 88 , 22 , 23
Thavarajasoorier, 115, 44 , 1 88 , 22 , 23
Willert, 115, 44 , 1 88 , 22 , 23

Ashe, 116s, 21 , 1 30 , 5 , 2
Carvalho, 116s, 21 , 1 30 , 5 , 2
Dickson, 116s, 21 , 1 30 , 5 , 2
Thavarajasoorier, 116s, 21 , 1 30 , 5 , 2
Willert, 116s, 21 , 1 30 , 5 , 2

Ashe, 117, 77 , 1 96 , 24 , 17
Carvalho, 117, 77 , 1 96 , 24 , 17
Dickson, 117, 77 , 1 96 , 24 , 17
Thavarajasoorier, 117, 77 , 1 96 , 24 , 17
Willert, 117, 77 , 1 96 , 24 , 17

Ashe, 118, 40 , 0 70 , 15 , 16
Carvalho, 118, 40 , 0 70 , 15 , 16
Dickson, 118, 40 , 0 70 , 15 , 16
Thavarajasoorier, 118, 40 , 0 70 , 15 , 16
Willert, 118, 40 , 0 70 , 15 , 16

Ashe, 119, 91 , 2 87 , 17 , 23
Carvalho, 119, 91 , 2 87 , 17 , 23
Dickson, 119, 91 , 2 87 , 17 , 23
Thavarajasoorier, 119, 91 , 2 87 , 17 , 23
Willert, 119, 91 , 2 87 , 17 , 23

Ashe, 120, 60 , 2 103 , 17 , 27
Carvalho, 120, 60 , 2 103 , 17 , 27
Dickson, 120, 60 , 2 103 , 17 , 27
Thavarajasoorier, 120, 60 , 2 103 , 17 , 27
Willert, 120, 60 , 2 103 , 17 , 27

Ashe, 121A, 49 , 1 78 , 18 , 22
Carvalho, 121A, 49 , 1 78 , 18 , 22
Dickson, 121A, 49 , 1 78 , 18 , 22
Thavarajasoorier, 121A, 49 , 1 78 , 18 , 22
Willert, 121A, 49 , 1 78 , 18 , 22

Ashe, 121B, 47 , 0 75 , 17 , 3
Carvalho, 121B, 47 , 0 75 , 17 , 3
Dickson, 121B, 47 , 0 75 , 17 , 3
Thavarajasoorier, 121B, 47 , 0 75 , 17 , 3
Willert, 121B, 47 , 0 75 , 17 , 3

Ashe, 122, 60 , 2 102 , 18 , 16
Carvalho, 122, 60 , 2 102 , 18 , 16
Dickson, 122, 60 , 2 102 , 18 , 16
Thavarajasoorier, 122, 60 , 2 102 , 18 , 16
Willert, 122, 60 , 2 102 , 18 , 16

None, 123, "NO POLL HELD"

Ashe, 124A, 40 , 2 45 , 9 , 15
Carvalho, 124A, 40 , 2 45 , 9 , 15
Dickson, 124A, 40 , 2 45 , 9 , 15
Thavarajasoorier, 124A, 40 , 2 45 , 9 , 15
Willert, 124A, 40 , 2 45 , 9 , 15

Ashe, 124B, 32 , 3 31 , 1 , 23
Carvalho, 124B, 32 , 3 31 , 1 , 23
Dickson, 124B, 32 , 3 31 , 1 , 23
Thavarajasoorier, 124B, 32 , 3 31 , 1 , 23
Willert, 124B, 32 , 3 31 , 1 , 23

Ashe, 125, 61 , 3 106 , 16 , 12
Carvalho, 125, 61 , 3 106 , 16 , 12
Dickson, 125, 61 , 3 106 , 16 , 12
Thavarajasoorier, 125, 61 , 3 106 , 16 , 12
Willert, 125, 61 , 3 106 , 16 , 12

Ashe, 126, 97 , 2 65 , 9 , 11
Carvalho, 126, 97 , 2 65 , 9 , 11
Dickson, 126, 97 , 2 65 , 9 , 11
Thavarajasoorier, 126, 97 , 2 65 , 9 , 11
Willert, 126, 97 , 2 65 , 9 , 11

Ashe, 127, 98 , 0 105 , 17 , 8
Carvalho, 127, 98 , 0 105 , 17 , 8
Dickson, 127, 98 , 0 105 , 17 , 8
Thavarajasoorier, 127, 98 , 0 105 , 17 , 8
Willert, 127, 98 , 0 105 , 17 , 8

Ashe, 128, 83 , 0 129 , 9 , 14
Carvalho, 128, 83 , 0 129 , 9 , 14
Dickson, 128, 83 , 0 129 , 9 , 14
Thavarajasoorier, 128, 83 , 0 129 , 9 , 14
Willert, 128, 83 , 0 129 , 9 , 14

Ashe, 129, , 84 , 2 105 , 18 , 12
Carvalho, 129, , 84 , 2 105 , 18 , 12
Dickson, 129, , 84 , 2 105 , 18 , 12
Thavarajasoorier, 129, , 84 , 2 105 , 18 , 12
Willert, 129, , 84 , 2 105 , 18 , 12

Ashe, 130, , 76 , 4 97 , 15 , 19
Carvalho, 130, , 76 , 4 97 , 15 , 19
Dickson, 130, , 76 , 4 97 , 15 , 19
Thavarajasoorier, 130, , 76 , 4 97 , 15 , 19
Willert, 130, , 76 , 4 97 , 15 , 19

Ashe, 131A, , 55 , 2 62 , 9 , 13
Carvalho, 131A, , 55 , 2 62 , 9 , 13
Dickson, 131A, , 55 , 2 62 , 9 , 13
Thavarajasoorier, 131A, , 55 , 2 62 , 9 , 13
Willert, 131A, , 55 , 2 62 , 9 , 13

Ashe, 131B, , 50 , 2 73 , 11 , 13
Carvalho, 131B, , 50 , 2 73 , 11 , 13
Dickson, 131B, , 50 , 2 73 , 11 , 13
Thavarajasoorier, 131B, , 50 , 2 73 , 11 , 13
Willert, 131B, , 50 , 2 73 , 11 , 13

Ashe, 132, , 54 , 0 87 , 11 , 13
Carvalho, 132, , 54 , 0 87 , 11 , 13
Dickson, 132, , 54 , 0 87 , 11 , 13
Thavarajasoorier, 132, , 54 , 0 87 , 11 , 13
Willert, 132, , 54 , 0 87 , 11 , 13

Ashe, 133, , 35 , 0 48 , 10 , 7
Carvalho, 133, , 35 , 0 48 , 10 , 7
Dickson, 133, , 35 , 0 48 , 10 , 7
Thavarajasoorier, 133, , 35 , 0 48 , 10 , 7
Willert, 133, , 35 , 0 48 , 10 , 7

Ashe, 134s, , 38 , 4 43 , 14 , 0
Carvalho, 134s, , 38 , 4 43 , 14 , 0
Dickson, 134s, , 38 , 4 43 , 14 , 0
Thavarajasoorier, 134s, , 38 , 4 43 , 14 , 0
Willert, 134s, , 38 , 4 43 , 14 , 0

Ashe, 135, , 43 , 6 52 , 14 , 21
Carvalho, 135, , 43 , 6 52 , 14 , 21
Dickson, 135, , 43 , 6 52 , 14 , 21
Thavarajasoorier, 135, , 43 , 6 52 , 14 , 21
Willert, 135, , 43 , 6 52 , 14 , 21

Ashe, 136, , 54 , 2 96 , 16 , 18
Carvalho, 136, , 54 , 2 96 , 16 , 18
Dickson, 136, , 54 , 2 96 , 16 , 18
Thavarajasoorier, 136, , 54 , 2 96 , 16 , 18
Willert, 136, , 54 , 2 96 , 16 , 18

Ashe, 137A, , 39 , 1 52 , 16 , 4
Carvalho, 137A, , 39 , 1 52 , 16 , 4
Dickson, 137A, , 39 , 1 52 , 16 , 4
Thavarajasoorier, 137A, , 39 , 1 52 , 16 , 4
Willert, 137A, , 39 , 1 52 , 16 , 4

Ashe, 137B, , 22 , 1 62 , 22 , 9
Carvalho, 137B, , 22 , 1 62 , 22 , 9
Dickson, 137B, , 22 , 1 62 , 22 , 9
Thavarajasoorier, 137B, , 22 , 1 62 , 22 , 9
Willert, 137B, , 22 , 1 62 , 22 , 9

Ashe, 138, , 33 , 0 58 , 20 , 5
Carvalho, 138, , 33 , 0 58 , 20 , 5
Dickson, 138, , 33 , 0 58 , 20 , 5
Thavarajasoorier, 138, , 33 , 0 58 , 20 , 5
Willert, 138, , 33 , 0 58 , 20 , 5

Ashe, 139, , 25 , 1 72 , 12 , 6
Carvalho, 139, , 25 , 1 72 , 12 , 6
Dickson, 139, , 25 , 1 72 , 12 , 6
Thavarajasoorier, 139, , 25 , 1 72 , 12 , 6
Willert, 139, , 25 , 1 72 , 12 , 6

Ashe, 140, , 23 , 2 56 , 5 , 10
Carvalho, 140, , 23 , 2 56 , 5 , 10
Dickson, 140, , 23 , 2 56 , 5 , 10
Thavarajasoorier, 140, , 23 , 2 56 , 5 , 10
Willert, 140, , 23 , 2 56 , 5 , 10

Ashe, 141, , 50 , 2 94 , 14 , 21
Carvalho, 141, , 50 , 2 94 , 14 , 21
Dickson, 141, , 50 , 2 94 , 14 , 21
Thavarajasoorier, 141, , 50 , 2 94 , 14 , 21
Willert, 141, , 50 , 2 94 , 14 , 21

None, 142, "NO POLL HELD"

Ashe, 143s, , 19 , 2 43 , 5 , 0
Carvalho, 143s, , 19 , 2 43 , 5 , 0
Dickson, 143s, , 19 , 2 43 , 5 , 0
Thavarajasoorier, 143s, , 19 , 2 43 , 5 , 0
Willert, 143s, , 19 , 2 43 , 5 , 0

Ashe, 144, , 40 , 2 58 , 12 , 10
Carvalho, 144, , 40 , 2 58 , 12 , 10
Dickson, 144, , 40 , 2 58 , 12 , 10
Thavarajasoorier, 144, , 40 , 2 58 , 12 , 10
Willert, 144, , 40 , 2 58 , 12 , 10

Ashe, 145, , 23 , 2 27 , 14 , 4
Carvalho, 145, , 23 , 2 27 , 14 , 4
Dickson, 145, , 23 , 2 27 , 14 , 4
Thavarajasoorier, 145, , 23 , 2 27 , 14 , 4
Willert, 145, , 23 , 2 27 , 14 , 4

Ashe, 146s, , 55 , 2 93 , 21 , 21
Carvalho, 146s, , 55 , 2 93 , 21 , 21
Dickson, 146s, , 55 , 2 93 , 21 , 21
Thavarajasoorier, 146s, , 55 , 2 93 , 21 , 21
Willert, 146s, , 55 , 2 93 , 21 , 21

Ashe, 147, , 66 , 2 69 , 26 , 17
Carvalho, 147, , 66 , 2 69 , 26 , 17
Dickson, 147, , 66 , 2 69 , 26 , 17
Thavarajasoorier, 147, , 66 , 2 69 , 26 , 17
Willert, 147, , 66 , 2 69 , 26 , 17

None, 148, "NO POLL HELD"

Ashe, 149, , 46 , 4 77 , 11 , 25
Carvalho, 149, , 46 , 4 77 , 11 , 25
Dickson, 149, , 46 , 4 77 , 11 , 25
Thavarajasoorier, 149, , 46 , 4 77 , 11 , 25
Willert, 149, , 46 , 4 77 , 11 , 25

Ashe, 150, , 54 , 0 59 , 20 , 11
Carvalho, 150, , 54 , 0 59 , 20 , 11
Dickson, 150, , 54 , 0 59 , 20 , 11
Thavarajasoorier, 150, , 54 , 0 59 , 20 , 11
Willert, 150, , 54 , 0 59 , 20 , 11

Ashe, 151A, , 32 , 0 45 , 14 , 6
Carvalho, 151A, , 32 , 0 45 , 14 , 6
Dickson, 151A, , 32 , 0 45 , 14 , 6
Thavarajasoorier, 151A, , 32 , 0 45 , 14 , 6
Willert, 151A, , 32 , 0 45 , 14 , 6

Ashe, 151B, , 40 , 1 42 , 5 , 9
Carvalho, 151B, , 40 , 1 42 , 5 , 9
Dickson, 151B, , 40 , 1 42 , 5 , 9
Thavarajasoorier, 151B, , 40 , 1 42 , 5 , 9
Willert, 151B, , 40 , 1 42 , 5 , 9

Ashe, 152, , 79 , 1 87 , 20 , 15
Carvalho, 152, , 79 , 1 87 , 20 , 15
Dickson, 152, , 79 , 1 87 , 20 , 15
Thavarajasoorier, 152, , 79 , 1 87 , 20 , 15
Willert, 152, , 79 , 1 87 , 20 , 15

Ashe, 153, , 41 , 2 79 , 19 , 6
Carvalho, 153, , 41 , 2 79 , 19 , 6
Dickson, 153, , 41 , 2 79 , 19 , 6
Thavarajasoorier, 153, , 41 , 2 79 , 19 , 6
Willert, 153, , 41 , 2 79 , 19 , 6

Ashe, 154, , 56 , 0 76 , 5 , 13
Carvalho, 154, , 56 , 0 76 , 5 , 13
Dickson, 154, , 56 , 0 76 , 5 , 13
Thavarajasoorier, 154, , 56 , 0 76 , 5 , 13
Willert, 154, , 56 , 0 76 , 5 , 13

Ashe, 155, , 49 , 0 78 , 20 , 16
Carvalho, 155, , 49 , 0 78 , 20 , 16
Dickson, 155, , 49 , 0 78 , 20 , 16
Thavarajasoorier, 155, , 49 , 0 78 , 20 , 16
Willert, 155, , 49 , 0 78 , 20 , 16

Ashe, 156, , 58 , 1 63 , 9 , 5
Carvalho, 156, , 58 , 1 63 , 9 , 5
Dickson, 156, , 58 , 1 63 , 9 , 5
Thavarajasoorier, 156, , 58 , 1 63 , 9 , 5
Willert, 156, , 58 , 1 63 , 9 , 5

Ashe, 157, , 114 , 1 95 , 14 , 12
Carvalho, 157, , 114 , 1 95 , 14 , 12
Dickson, 157, , 114 , 1 95 , 14 , 12
Thavarajasoorier, 157, , 114 , 1 95 , 14 , 12
Willert, 157, , 114 , 1 95 , 14 , 12

Ashe, 158A, , 63 , 1 81 , 12 , 17
Carvalho, 158A, , 63 , 1 81 , 12 , 17
Dickson, 158A, , 63 , 1 81 , 12 , 17
Thavarajasoorier, 158A, , 63 , 1 81 , 12 , 17
Willert, 158A, , 63 , 1 81 , 12 , 17

Ashe, Ashe, 158B, , 45 , 1 72 , 17 , 13
Carvalho, 158B, , 45 , 1 72 , 17 , 13
Dickson, 158B, , 45 , 1 72 , 17 , 13
Thavarajasoorier, 158B, , 45 , 1 72 , 17 , 13
Willert, 158B, , 45 , 1 72 , 17 , 13

None, 159, "NO POLL HELD"

Ashe, 159-1s, , 5 , 0 16 , 4 , 1
Carvalho, 159-1s, , 5 , 0 16 , 4 , 1
Dickson, 159-1s, , 5 , 0 16 , 4 , 1
Thavarajasoorier, 159-1s, , 5 , 0 16 , 4 , 1
Willert, 159-1s, , 5 , 0 16 , 4 , 1

Ashe, 160, , 41 , 3 98 , 21 , 12
Carvalho, 160, , 41 , 3 98 , 21 , 12
Dickson, 160, , 41 , 3 98 , 21 , 12
Thavarajasoorier, 160, , 41 , 3 98 , 21 , 12
Willert, 160, , 41 , 3 98 , 21 , 12

Ashe, 161s, , 11 , 1 11 , 2 , 3
Carvalho, 161s, , 11 , 1 11 , 2 , 3
Dickson, 161s, , 11 , 1 11 , 2 , 3
Thavarajasoorier, 161s, , 11 , 1 11 , 2 , 3
Willert, 161s, , 11 , 1 11 , 2 , 3

Ashe, 162, , 27 , 0 45 , 11 , 8
Carvalho, 162, , 27 , 0 45 , 11 , 8
Dickson, 162, , 27 , 0 45 , 11 , 8
Thavarajasoorier, 162, , 27 , 0 45 , 11 , 8
Willert, 162, , 27 , 0 45 , 11 , 8

Ashe, 163A, , 61 , 2 77 , 20 , 12
Carvalho, 163A, , 61 , 2 77 , 20 , 12
Dickson, 163A, , 61 , 2 77 , 20 , 12
Thavarajasoorier, 163A, , 61 , 2 77 , 20 , 12
Willert, 163A, , 61 , 2 77 , 20 , 12

Ashe, 163B, , 25 , 2 44 , 17 , 6
Carvalho, 163B, , 25 , 2 44 , 17 , 6
Dickson, 163B, , 25 , 2 44 , 17 , 6
Thavarajasoorier, 163B, , 25 , 2 44 , 17 , 6
Willert, 163B, , 25 , 2 44 , 17 , 6

Ashe, 164, , 59 , 2 67 , 22 , 18
Carvalho, 164, , 59 , 2 67 , 22 , 18
Dickson, 164, , 59 , 2 67 , 22 , 18
Thavarajasoorier, 164, , 59 , 2 67 , 22 , 18
Willert, 164, , 59 , 2 67 , 22 , 18

Ashe, 165, , 50 , 0 61 , 26 , 21
Carvalho, 165, , 50 , 0 61 , 26 , 21
Dickson, 165, , 50 , 0 61 , 26 , 21
Thavarajasoorier, 165, , 50 , 0 61 , 26 , 21
Willert, 165, , 50 , 0 61 , 26 , 21

Ashe, 167s, , 25 , 1 31 , 8 , 5
Carvalho, 167s, , 25 , 1 31 , 8 , 5
Dickson, 167s, , 25 , 1 31 , 8 , 5
Thavarajasoorier, 167s, , 25 , 1 31 , 8 , 5
Willert, 167s, , 25 , 1 31 , 8 , 5

Ashe, 168, , 66 , 3 70 , 24 , 17
Carvalho, 168, , 66 , 3 70 , 24 , 17
Dickson, 168, , 66 , 3 70 , 24 , 17
Thavarajasoorier, 168, , 66 , 3 70 , 24 , 17
Willert, 168, , 66 , 3 70 , 24 , 17

Ashe, 169, , 51 , 2 50 , 19 , 13
Carvalho, 169, , 51 , 2 50 , 19 , 13
Dickson, 169, , 51 , 2 50 , 19 , 13
Thavarajasoorier, 169, , 51 , 2 50 , 19 , 13
Willert, 169, , 51 , 2 50 , 19 , 13

Ashe, 170, , 72 , 0 94 , 25 , 17
Carvalho, 170, , 72 , 0 94 , 25 , 17
Dickson, 170, , 72 , 0 94 , 25 , 17
Thavarajasoorier, 170, , 72 , 0 94 , 25 , 17
Willert, 170, , 72 , 0 94 , 25 , 17

Ashe, 171, , 116 , 1 107 , 17 , 25
Carvalho, 171, , 116 , 1 107 , 17 , 25
Dickson, 171, , 116 , 1 107 , 17 , 25
Thavarajasoorier, 171, , 116 , 1 107 , 17 , 25
Willert, 171, , 116 , 1 107 , 17 , 25

Ashe, 172, , 73 , 0 93 , 11 , 25
Carvalho, 172, , 73 , 0 93 , 11 , 25
Dickson, 172, , 73 , 0 93 , 11 , 25
Thavarajasoorier, 172, , 73 , 0 93 , 11 , 25
Willert, 172, , 73 , 0 93 , 11 , 25

Ashe, 173, , 89 , 0 79 , 11 , 24
Carvalho, 173, , 89 , 0 79 , 11 , 24
Dickson, 173, , 89 , 0 79 , 11 , 24
Thavarajasoorier, 173, , 89 , 0 79 , 11 , 24
Willert, 173, , 89 , 0 79 , 11 , 24

Ashe, 174, , 77 , 2 85 , 24 , 18
Carvalho, 174, , 77 , 2 85 , 24 , 18
Dickson, 174, , 77 , 2 85 , 24 , 18
Thavarajasoorier, 174, , 77 , 2 85 , 24 , 18
Willert, 174, , 77 , 2 85 , 24 , 18

Ashe, 175, , 49 , 5 93 , 15 , 7
Carvalho, 175, , 49 , 5 93 , 15 , 7
Dickson, 175, , 49 , 5 93 , 15 , 7
Thavarajasoorier, 175, , 49 , 5 93 , 15 , 7
Willert, 175, , 49 , 5 93 , 15 , 7

Ashe, 176, , 71 , 1 91 , 17 , 13
Carvalho, 176, , 71 , 1 91 , 17 , 13
Dickson, 176, , 71 , 1 91 , 17 , 13
Thavarajasoorier, 176, , 71 , 1 91 , 17 , 13
Willert, 176, , 71 , 1 91 , 17 , 13

Ashe, 177, , 73 , 0 86 , 13 , 19
Carvalho, 177, , 73 , 0 86 , 13 , 19
Dickson, 177, , 73 , 0 86 , 13 , 19
Thavarajasoorier, 177, , 73 , 0 86 , 13 , 19
Willert, 177, , 73 , 0 86 , 13 , 19

Ashe, 178, , 72 , 1 83 , 3 , 22
Carvalho, 178, , 72 , 1 83 , 3 , 22
Dickson, 178, , 72 , 1 83 , 3 , 22
Thavarajasoorier, 178, , 72 , 1 83 , 3 , 22
Willert, 178, , 72 , 1 83 , 3 , 22

Ashe, 179, , 82 , 0 91 , 20 , 30
Carvalho, 179, , 82 , 0 91 , 20 , 30
Dickson, 179, , 82 , 0 91 , 20 , 30
Thavarajasoorier, 179, , 82 , 0 91 , 20 , 30
Willert, 179, , 82 , 0 91 , 20 , 30

Ashe, 180, , 68 , 0 48 , 10 , 18
Carvalho, 180, , 68 , 0 48 , 10 , 18
Dickson, 180, , 68 , 0 48 , 10 , 18
Thavarajasoorier, 180, , 68 , 0 48 , 10 , 18
Willert, 180, , 68 , 0 48 , 10 , 18

Ashe, 181, , 66 , 2 , 127 , 11 , 18
Carvalho, 181, , 66 , 2 , 127 , 11 , 18
Dickson, 181, , 66 , 2 , 127 , 11 , 18
Thavarajasoorier, 181, , 66 , 2 , 127 , 11 , 18
Willert, 181, , 66 , 2 , 127 , 11 , 18

Ashe, 182, , 44 , 0 , 69 , 7 , 9
Carvalho, 182, , 44 , 0 , 69 , 7 , 9
Dickson, 182, , 44 , 0 , 69 , 7 , 9
Thavarajasoorier, 182, , 44 , 0 , 69 , 7 , 9
Willert, 182, , 44 , 0 , 69 , 7 , 9

Ashe, 183, , 56 , 0 , 80 , 13 , 23
Carvalho, 183, , 56 , 0 , 80 , 13 , 23
Dickson, 183, , 56 , 0 , 80 , 13 , 23
Thavarajasoorier, 183, , 56 , 0 , 80 , 13 , 23
Willert, 183, , 56 , 0 , 80 , 13 , 23

Ashe, 184, , 57 , 0 , 62 , 4 , 20
Carvalho, 184, , 57 , 0 , 62 , 4 , 20
Dickson, 184, , 57 , 0 , 62 , 4 , 20
Thavarajasoorier, 184, , 57 , 0 , 62 , 4 , 20
Willert, 184, , 57 , 0 , 62 , 4 , 20

Ashe, 185, , 51 , 2 , 75 , 10 , 10
Carvalho, 185, , 51 , 2 , 75 , 10 , 10
Dickson, 185, , 51 , 2 , 75 , 10 , 10
Thavarajasoorier, 185, , 51 , 2 , 75 , 10 , 10
Willert, 185, , 51 , 2 , 75 , 10 , 10

Ashe, 186, , 37 , 1 , 58 , 5 , 11
Carvalho, 186, , 37 , 1 , 58 , 5 , 11
Dickson, 186, , 37 , 1 , 58 , 5 , 11
Thavarajasoorier, 186, , 37 , 1 , 58 , 5 , 11
Willert, 186, , 37 , 1 , 58 , 5 , 11

Ashe, 187A, , 36 , 1 , 74 , 11 , 9
Carvalho, 187A, , 36 , 1 , 74 , 11 , 9
Dickson, 187A, , 36 , 1 , 74 , 11 , 9
Thavarajasoorier, 187A, , 36 , 1 , 74 , 11 , 9
Willert, 187A, , 36 , 1 , 74 , 11 , 9

Ashe, 187B, , 59 , 1 , 68 , 14 , 9
Carvalho, 187B, , 59 , 1 , 68 , 14 , 9
Dickson, 187B, , 59 , 1 , 68 , 14 , 9
Thavarajasoorier, 187B, , 59 , 1 , 68 , 14 , 9
Willert, 187B, , 59 , 1 , 68 , 14 , 9

Ashe, 188, , 107 , 0 , 123 , 13 , 15
Carvalho, 188, , 107 , 0 , 123 , 13 , 15
Dickson, 188, , 107 , 0 , 123 , 13 , 15
Thavarajasoorier, 188, , 107 , 0 , 123 , 13 , 15
Willert, 188, , 107 , 0 , 123 , 13 , 15

Ashe, 189, , 65 , 1 , 90 , 15 , 12
Carvalho, 189, , 65 , 1 , 90 , 15 , 12
Dickson, 189, , 65 , 1 , 90 , 15 , 12
Thavarajasoorier, 189, , 65 , 1 , 90 , 15 , 12
Willert, 189, , 65 , 1 , 90 , 15 , 12

Ashe, 190, , 33 , 0 , 33 , 10 , 9
Carvalho, 190, , 33 , 0 , 33 , 10 , 9
Dickson, 190, , 33 , 0 , 33 , 10 , 9
Thavarajasoorier, 190, , 33 , 0 , 33 , 10 , 9
Willert, 190, , 33 , 0 , 33 , 10 , 9

Ashe, 191, , 58 , 3 , 76 , 11 , 6
Carvalho, 191, , 58 , 3 , 76 , 11 , 6
Dickson, 191, , 58 , 3 , 76 , 11 , 6
Thavarajasoorier, 191, , 58 , 3 , 76 , 11 , 6
Willert, 191, , 58 , 3 , 76 , 11 , 6

Ashe, 192, , 106 , 3 , 80 , 19 , 24
Carvalho, 192, , 106 , 3 , 80 , 19 , 24
Dickson, 192, , 106 , 3 , 80 , 19 , 24
Thavarajasoorier, 192, , 106 , 3 , 80 , 19 , 24
Willert, 192, , 106 , 3 , 80 , 19 , 24

Ashe, 193, , 140 , 2 , 115 , 17 , 22
Carvalho, 193, , 140 , 2 , 115 , 17 , 22
Dickson, 193, , 140 , 2 , 115 , 17 , 22
Thavarajasoorier, 193, , 140 , 2 , 115 , 17 , 22
Willert, 193, , 140 , 2 , 115 , 17 , 22

Ashe, 194, , 100 , 4 , 129 , 14 , 24
Carvalho, 194, , 100 , 4 , 129 , 14 , 24
Dickson, 194, , 100 , 4 , 129 , 14 , 24
Thavarajasoorier, 194, , 100 , 4 , 129 , 14 , 24
Willert, 194, , 100 , 4 , 129 , 14 , 24

Ashe, 195, , 76 , 0 , 90 , 21 , 22
Carvalho, 195, , 76 , 0 , 90 , 21 , 22
Dickson, 195, , 76 , 0 , 90 , 21 , 22
Thavarajasoorier, 195, , 76 , 0 , 90 , 21 , 22
Willert, 195, , 76 , 0 , 90 , 21 , 22

Ashe, 196, , 97 , 1 , 105 , 20 , 18
Carvalho, 196, , 97 , 1 , 105 , 20 , 18
Dickson, 196, , 97 , 1 , 105 , 20 , 18
Thavarajasoorier, 196, , 97 , 1 , 105 , 20 , 18
Willert, 196, , 97 , 1 , 105 , 20 , 18

Ashe, 197, , 104 , 2 , 150 , 6 , 18
Carvalho, 197, , 104 , 2 , 150 , 6 , 18
Dickson, 197, , 104 , 2 , 150 , 6 , 18
Thavarajasoorier, 197, , 104 , 2 , 150 , 6 , 18
Willert, 197, , 104 , 2 , 150 , 6 , 18

Ashe, 198, , 50 , 2 , 79 , 7 , 5
Carvalho, 198, , 50 , 2 , 79 , 7 , 5
Dickson, 198, , 50 , 2 , 79 , 7 , 5
Thavarajasoorier, 198, , 50 , 2 , 79 , 7 , 5
Willert, 198, , 50 , 2 , 79 , 7 , 5

Ashe, 199, , 57 , 2 , 90 , 26 , 25
Carvalho, 199, , 57 , 2 , 90 , 26 , 25
