055, 0, 0, 0, 207, 459, "St. Patrick Catholic School", "AJAX-PICKERING", 2007
056, 0, 1, 0, 192, 428, "St. Patrick Catholic School", "AJAX-PICKERING", 2007
057, 0, 0, 0, 184, 418, "St. Patrick Catholic School", "AJAX-PICKERING", 2007
058, 0, 1, 0, 238, 500, "Alexander Graham Bell Public School", "AJAX-PICKERING", 2007
059, 0, 1, 0, 237, 490, "St. Patrick Catholic School", "AJAX-PICKERING", 2007
060, 1, 0, 0, 207, 469, "Lincoln Alexander Public School", "AJAX-PICKERING", 2007
061, 1, 0, 0, 245, 529, "St. Patrick Catholic School", "AJAX-PICKERING", 2007
062, 0, 1, 0, 148, 368, "Alexander Graham Bell Public School", "AJAX-PICKERING", 2007
063, 0, 0, 0, 174, 408, "Lester B. Pearson Public School", "AJAX-PICKERING", 2007
064, 0, 0, 1, 157, 394, "Lincoln Alexander Public School", "AJAX-PICKERING", 2007
065, 0, 0, 0, 176, 407, "Westney Heights Public School", "AJAX-PICKERING", 2007
066, 0, 0, 0, 179, 379, "Westney Heights Public School", "AJAX-PICKERING", 2007
067, 0, 0, 0, 217, 441, "Lester B. Pearson Public School", "AJAX-PICKERING", 2007
068, 0, 0, 0, 187, 401, "Westney Heights Public School", "AJAX-PICKERING", 2007
069, 0, 0, 0, 150, 426, "Westney Heights Public School", "AJAX-PICKERING", 2007
070, 1, 0, 0, 180, 385, "Westney Heights Public School", "AJAX-PICKERING", 2007
071, 1, 2, 1, 176, 489, "Dr. Roberta Bondar Public School", "AJAX-PICKERING", 2007
072, 1, 1, 0, 159, 374, "Applecroft Public School", "AJAX-PICKERING", 2007
073, 0, 1, 0, 202, 490, "Applecroft Public School", "AJAX-PICKERING", 2007
074, 0, 0, 0, 210, 452, "Dr. Roberta Bondar Public School", "AJAX-PICKERING", 2007
075A, 0, 1, 0, 131, 334, "Applecroft Public School", "AJAX-PICKERING", 2007
075B, 2, 2, 0, 227, 362, "Applecroft Public School", "AJAX-PICKERING", 2007
076, 0, 0, 0, 114, 515, "Applecroft Public School", "AJAX-PICKERING", 2007
077, 0, 0, 0, 142, 382, "Dr. Roberta Bondar Public School", "AJAX-PICKERING", 2007
078, 0, 1,0, 147, 404, "Applecroft Public School", "AJAX-PICKERING", 2007
079, 0, 0, 0, 177, 467, "Archbishop Denis O'Connor Catholic High School", "AJAX-PICKERING", 2007
080, 0, 0, 0, 158, 340, "Cadarackque Public School", "AJAX-PICKERING", 2007
081, 1, 0, 0, 154, 337, "Cadarackque Public School", "AJAX-PICKERING", 2007
082, 0, 0, 1, 243, 524, "Pine Ridge Secondary School", "AJAX-PICKERING", 2007
083, 0, 1, 0, 170, 313, "Pine Ridge Secondary School", "AJAX-PICKERING", 2007
084, 1, 0, 0, 251, 537, "Valley Farm Public School", "AJAX-PICKERING", 2007
085A, 0, 0, 0, 119, 263, "Valley Farm Public School", "AJAX-PICKERING", 2007
085B, 0, 1, 0, 140, 289,"Valley Farm Public School", "AJAX-PICKERING", 2007
086, 1, 0, 0, 213, 528, "Valley Farm Public School", "AJAX-PICKERING", 2007
087, 1, 1, 0, 210, 526, "Valley Farm Public School", "AJAX-PICKERING", 2007
088, 1, 0, 0, 167, 430, "Valley Farm Public School", "AJAX-PICKERING", 2007
089, 0, 0, 0, 178, 427, "St. Wilfrid Catholic School", "AJAX-PICKERING", 2007
090, 0, 1, 0, 159, 485, "St. Anthony Daniel Catholic School", "AJAX-PICKERING", 2007
091, 0, 1, 0, 177, 492, "Valley Farm Public School", "AJAX-PICKERING", 2007
092A, 0, 1, 0, 115, 283, "St. Anthony Daniel Catholic School", "AJAX-PICKERING", 2007
092B, 0, 0, 2, 101, 269, "St. Anthony Daniel Catholic School", "AJAX-PICKERING", 2007
093, 0, 1, 0, 268, 546, "Eagle Ridge Public School", "AJAX-PICKERING", 2007
094, 0, 0, 0, 228, 428, "Eagle Ridge Public School", "AJAX-PICKERING", 2007
095, 0, 0, 0, 198, 432, "Pickering High School", "AJAX-PICKERING", 2007
096, 0, 0, 0, 0, 0, "NO POLL HELD", "AJAX-PICKERING", 2007
096-1s, 0, 0, 0, 50, 105, "Unity Village", "AJAX-PICKERING", 2007
097, 0, 0, 0, 216, 471, "Pickering High School", "AJAX-PICKERING", 2007
098, 0, 0, 0, 156, 382, "Pickering High School", "AJAX-PICKERING", 2007
099, 1, 0, 1, 197, 426, "Lincoln Alexander Public School", "AJAX-PICKERING", 2007
100, 0, 0, 0, 224, 481, "Lincoln Alexander Public School", "AJAX-PICKERING", 2007
101, 0, 2, 1, 198, 362, "Lincoln Alexander Public School", "AJAX-PICKERING", 2007
102, 1, 1, 0, 276, 485, "Lincoln Avenue Public School", "AJAX-PICKERING", 2007
103, 1, 0, 0, 189, 462, "Lincoln Alexander Public School", "AJAX-PICKERING", 2007
104, 0, 0, 0, 197, 424, "Roland Michener Public School", "AJAX-PICKERING", 2007
105, 1, 0, 0, 168, 381, "Westney Heights Public School", "AJAX-PICKERING", 2007
106, 0, 0, 0, 227, 467, "Roland Michener Public School", "AJAX-PICKERING", 2007
107, 3, 2, 1, 209, 427, "Roland Michener Public School", "AJAX-PICKERING", 2007
108, 0, 0, 0, 176, 438, "Roland Michener Public School", "AJAX-PICKERING", "AJAX-PICKERING", 2007
109, 0, 0, 0, 189, 446, "Roland Michener Public School", "AJAX-PICKERING", 2007
110, 0, 0, 0, 193, 478, "Roland Michener Public School", "AJAX-PICKERING", 2007
111, 0, 0, 0, 154, 408, "Lord Elgin Public School", "AJAX-PICKERING", 2007
112, 0, 0, 0, 127, 263, "Lord Elgin Public School", "AJAX-PICKERING", 2007
113, 0, 0, 0, 142, 358, "Lord Elgin Public School", "AJAX-PICKERING", 2007
114, 1, 1, 0, 149, 422, "Lord Elgin Public School", "AJAX-PICKERING", 2007
115, 0, 0, 0, 178, 378, "Lord Elgin Public School", "AJAX-PICKERING", 2007
116s, 0, 0, 1, 60, 131, "Ballycliffe Retirement Home", "AJAX-PICKERING", 2007
117, 0, 0, 0, 215, 484, "Archbishop Denis O'Connor Catholic High School", "AJAX-PICKERING", 2007
118, 1, 0, 0, 142, 346, "Archbishop Denis O'Connor Catholic High School", "AJAX-PICKERING", 2007
119, 0, 0, 0, 220, 468, "Archbishop Denis O'Connor Catholic High School", "AJAX-PICKERING", 2007
120, 0, 0, 1, 210, 424, "St. Andrews Community Centre", "AJAX-PICKERING", 2007
121A, 0, 1, 0, 169, 340, "St. Andrews Community Centre", "AJAX-PICKERING", 2007
121B, 0, 0, 0, 142, 326, "St. Andrews Community Centre", "AJAX-PICKERING", 2007
122, 1, 2, 0, 201, 603," Carruthers Creek Public School", "AJAX-PICKERING", 2007
123, 0, 0, 0, 0, 0, "NO POLL HELD", "AJAX-PICKERING", 2007
124A, 2, 0, 0, 113, 220, "Herongate Barn Theatre", "AJAX-PICKERING", 2007
124B, 0, 0, 0, 90, 219, "Herongate Barn Theatre", "AJAX-PICKERING", 2007
125, 0, 0, 0, 198, 529, "Pine Ridge Secondary School", "AJAX-PICKERING", 2007
126, 0, 2, 0, 186, 423, "Pine Ridge Secondary School", "AJAX-PICKERING", 2007
127, 1, 0, 0, 229, 523, "Pine Ridge Secondary School", "AJAX-PICKERING", 2007
128, 1, 0, 0, 236, 461, "Maple Ridge Public School", "AJAX-PICKERING", 2007
129, 1, 2, 0, 224, 439, "Pine Ridge Secondary School", "AJAX-PICKERING", 2007
130, 0, 0, 0, 211, 445, "Maple Ridge Public School", "AJAX-PICKERING", 2007
131A, 1, 0, 0, 142, 266, "Maple Ridge Public School", "AJAX-PICKERING", 2007
131B, 0, 3, 0, 152, 296, "Maple Ridge Public School", "AJAX-PICKERING", 2007
132, 0, 0, 0, 165, 490, "St. Anthony Daniel Catholic School", "AJAX-PICKERING", 2007
133, 1, 0, 0, 101, 223, "St. Anthony Daniel Catholic School", "AJAX-PICKERING", 2007
